ID,Type,Name,Description,Page,Section
D5D94504-0681-42E1-A953-1BA4F1467720,Input/Output,Updated RVTM,"An updated list of requirements, their verification attributes, and their traces.",282,Appendix E
F70AF612-D05F-451B-A092-C129D90C1E81,Input/Output,Transition strategy,"Approaches, schedules, resources, and specific considerations required to transition the systems into its operation environment.",282,Appendix E
B1288040-5756-4697-A7E2-AAB492AAB952,Input/Output,Transition report,"An account prepared for interested parties in order to communicate the status, results, and outcomes of the transition activities. Includes documentation of the transition results and a record of any recommended corrective actions, such as limitations, concessions, and ongoing issues. Should also include plans to rectify any problems that arise during transition.",282,Appendix E
56BF2D88-CE53-470C-9470-BB7F56E83E46,Input/Output,Transition record,"Permanent, readable form of data, information, or knowledge related to transition.",282,Appendix E
2D1AF59E-7C57-4425-8D9F-E2281E50A3A3,Input/Output,Transition enabling system requirements,Requirements for any systems needed to enable transition of the system of interest.,282,Appendix E
21E65351-1FBE-4416-BF1E-9C5C0BECD2A7,Input/Output,Transition constraints,"Any constraints on the system arising from the transition strategy including cost, schedule, and technical constraints.",282,Appendix E
57CCBCD8-71B2-40C2-8007-441A24F45CAC,Process,System Requirements Definition,"The purpose of the System Requirements Definition process is to transform the stakeholder, user oriented view of desired capabilities into a technical view of a solution that meets the operational needs of the user.",57,4.3
DD7A8A63-5AF6-43CF-88CF-27AB311FB69D,Input/Output,Trained operators and maintainers,Trained humans that will operate and maintain the system.,282,Appendix E
59C3A3E4-6D67-43B0-BAEA-7401B4CAB305,Input/Output,TPM needs,"Identification of the TPM, which measure attributes of a system element to determine how well a system or system element is satisfying or expected to satisfy a technical requirement or goal.",282,Appendix E
07BCC7F1-C6A1-4D5C-A4EE-E5747C4D2408,Input/Output,TPM data,Data provided for the identified measurement needs.,282,Appendix E
A5D9EF18-C430-4902-8859-D7ADFC5F6D60,Process,Architecture Definition,"The purpose of the Architecture Definition process is to generate system architecture alternatives, to select one or more alternative(s) that frame stakeholder concerns and meet system requirements, and to express this in a set of consistent views.",64,4.4
6B69A433-A200-4C14-A09C-B867B04F4DEE,Input/Output,System requirements traceability,Bidirectional traceability of the system requirements.,282,Appendix E
D309E75B-03ED-483A-B5E7-EFE90A00AB03,Input/Output,System requirements definition strategy,"Approaches, techniques, resources, and specific considerations required to be used to identify and define the system requirements and manage the requirements through the life cycle.",282,Appendix E
3F28D1E3-4C10-4D89-8511-6EBFE9399DE8,Input/Output,System requirements definition record,"Permanent, readable form of data, information, or knowledge related to system requirements definition.",281,Appendix E
1465EDB3-F336-4766-A633-9B9AE94FF85A,Process,Design Definition,The purpose of the Design Definition process is to provide sufficient detailed data and information about the system and its elements to enable the implementation consistent with architectural entities as defined in models and views of the system architecture.,70,4.5
D8824592-6D15-4047-856C-7B6CFBA7C904,Input/Output,System requirements,"What the system needs to do, how well, and under what conditions, as required to meet project and design constraints. Includes types of requirements such as functional, performance, interface, behavior (e.g., states and modes, stimulus responses, fault and failure handling), operational conditions (e.g., safety, dependability, human factors, environmental conditions), transportation, storage, physical constraints, realization, integration, verification, validation, production, maintenance, disposal constraints, and regulation. System requirements may be captured in a document called the System Requirements Specification (SyRS) or just System Specification. This includes the requirements at any level in the system hierarchy.",281,Appendix E
0C6EDE2F-EA2F-4DB5-8462-331DEA2F497C,Input/Output,System functional interface identification,Identification and documentation of the functional interfaces with systems external to the boundaries and the corresponding information exchange requirements.,281,Appendix E
FC3241D9-E6C7-4757-A618-652381D94A15,Input/Output,System function identification,Identification of the system functions.,281,Appendix E
00D04AE6-C689-4A08-9E9A-7A8731D8FE42,Input/Output,System function definition,Definition of the functional boundaries of the system and the functions the system must perform.,281,Appendix E
FDFD1EED-52A5-429C-8A40-4FEB65F498F5,Input/Output,System elements,System elements implemented or supplied according to the acquisition agreement.,281,Appendix E
CA36ECCD-C7B4-4C04-AD55-78E3439AC81B,Input/Output,System element documentation,"Detailed drawings, codes, and material specifications. Updated design documentation, as required by corrective action or adaptations caused by acquisition or conformance to regulations.",281,Appendix E
6AB2AA69-98E1-406A-AED3-A2ED23A82D85,Input/Output,System element descriptions,"Design characteristics description of the system elements contained in the system; the description depends on the implementation technology (e.g., data sheets, databases, documents, exportable data files).",281,Appendix E
28B4D1D1-7C34-494F-B365-79CB583C95FC,Input/Output,System design rationale,"Rationale for design selection, system element selection, and allocation between system requirements and system element. Includes rationale of major selected implementation options and enablers.",281,Appendix E
4B2994BC-6250-439C-A7C7-DB2A4177CFEC,Input/Output,System design description,Description of the selected system design. System elements are identified and defined.,281,Appendix E
5DDA64B3-6562-49B8-BC3B-F811D096F0B5,Input/Output,System architecture rationale,"Rationale for architecture selection, technological/technical system element selection, and allocation between system requirements and architectural entities (e.g., functions, input/output flows, system elements, physical interfaces, architectural characteristics, information/data elements, containers, nodes, links, communication resources).",281,Appendix E
49CEA2C3-A80F-4035-80EB-B3982C8BA690,Input/Output,System architecture description,"Description of the selected system architecture, typically presented in a set of architectural views (e.g., views from architecture frameworks), models (e.g., logical and physical models, although there are other kinds of models that might be useful), and architectural characteristics (e.g., physical dimensions, environment resistance, execution efficiency, operability, reliability, maintainability, modularity, robustness, safeguard, understandability, etc.) (ISO/IEC/ IEEE 42010, 2010). Architecturally significant system elements are identified and defined to some degree in this artifact. (Other system elements might need to be added during the design definition process as the design is fleshed out).",281,Appendix E
F90F138F-28FA-4F3B-AE32-E91A1AB6E0FF,Input/Output,System analysis strategy,"Approaches, schedules, resources, and specific considerations required to accomplish the various analyses to be carried out, including methods, procedures, evaluation criteria, or parameters.",280,Appendix E
A64EF26C-FE69-44D3-84AF-77F74ABC2A45,Input/Output,System analysis report,"An account prepared for interested parties in order to communicate the status, results, and outcomes of the system analysis activities. Includes the results of costs analysis, risks analysis, effectiveness analysis, and other critical characteristics analysis. Also includes all models or simulations that are developed for the analysis.",280,Appendix E
AAE1949D-36EE-4643-ACDB-F9EFF5406E65,Input/Output,System analysis record,"Permanent, readable form of data, information, or knowledge related to system analysis.",280,Appendix E
6E15722A-914D-4E7F-9EFF-FC976A69340D,Process,System Analysis,The purpose of the System Analysis process is to provide a rigorous basis of data and information for technical understanding to aid decision making across the life cycle.,74,4.6
27E90A69-18A4-4469-A1B3-D9C5AF10C2EE,Input/Output,Supply strategy,"Approaches, schedules, resources, and specific considerations required to identify candidate projects for management consideration. May also include inputs to determine supply constraints. Should also include the identification of potential acquirers.",280,Appendix E
F8D26E97-0CFA-4D1F-9F00-9128A13C9ABF,Input/Output,Supply response,The organization response to the request for supply.,280,Appendix E
988047F5-B71D-416C-BA86-D777EB47C5B7,Input/Output,Supply report,"An account prepared for interested parties in order to communicate the status, results, and outcomes of the supply activities.",280,Appendix E
D19982A9-1C68-40B3-8D73-100EE142B476,Input/Output,Supply record,"Permanent, readable form of data, information, or knowledge related to supply.",280,Appendix E
EFEE2F5D-D0DD-4A6A-B3DE-A3E6852C6896,Input/Output,Supply payment,Payments or other compensations for the supplied system. Includes receipt and acknowledgement.,280,Appendix E
EEA71A83-F76A-4041-B86E-CEA413BC4949,Input/Output,Supply agreement,An understanding of the relationship and commitments between the project organization and the acquirer. The agreement can vary from formal contracts to less formal interorganizational work orders. Formal agreements typically include terms and conditions.,280,Appendix E
583C5BDD-98C7-4079-8141-A5A3DEA27223,Process,Implementation,The purpose of the Implementation process is to realize a specified system element.,77,4.7
2B638963-AB88-43E0-A05C-93FDF941F16E,Input/Output,Supplied system,The system or system element (product or service) is delivered from the supplier to the acquirer consistent with the delivery conditions of the supply agreement.,280,Appendix E
31D462C7-051E-4A42-BE19-116DBFEDC2EF,Control,Standards,"This handbook and relevant industry, country, military, acquirer, and other specifications and standards. Includes new knowledge from industry‐ sponsored knowledge networks.",280,Appendix E
8F8C697A-9CE1-4BD1-ACD1-9BBF05DC7B1E,Input/Output,Stakeholder requirements traceability,Bidirectional traceability of the stakeholder requirements.,280,Appendix E
AC20F09C-0E5D-41D6-A97F-328FD34F0CEF,Input/Output,Stakeholder requirements,"Requirements from various stakeholders that will govern the project, including required system capabilities, functions, and/or services; quality standards; system constraints; and cost and schedule constraints. Stakeholder requirements may be captured in the Stakeholder Requirements Specification (StRS).",280,Appendix E
0F2B946B-32C3-459F-84B2-B2D5A90B4C23,Input/Output,Stakeholder needs and requirements definition strategy,"Approaches, schedules, resources, and specific considerations required to reflect consensus among the stakeholder classes to establish a common set of acceptable requirements. Includes the approach to capture the stakeholder needs, transform them into stakeholder requirements, and manage them through the life cycle.",280,Appendix E
263FB974-6984-4378-A12E-F77FF1762587,Input/Output,Stakeholder needs and requirements definition record,"Permanent, readable form of data, information, or knowledge related to stakeholder needs and requirements definition.",280,Appendix E
6BEBCE80-0BBD-4E3C-A7EB-72AE0E8D237B,Process,Integration,"The purpose of the Integration process is to synthesize a set of system elements into a realized system (product or service) that satisfies system requirements, architecture, and design.",79,4.8
76B2EA3A-36BB-48A4-A2B0-99B1319EA667,Input/Output,Stakeholder needs,"Needs determined from communication with external and internal stakeholders in understanding their expectations, needs, requirements, values, problems, issues, and perceived risks and opportunities.",279,Appendix E
22ED970F-FF6B-4230-AA9D-75A3DDED2C32,Input/Output,Source documents,External documents relevant to the particular stage of procurement activity for the system of interest. Includes the written directives embodied in the source documents relevant to organizational strategies and policies.,279,Appendix E
C6F7E525-7A90-480C-9E21-4A8D9D0180FB,Input/Output,SEMP,"Systems engineering management plan. The top‐level plan for managing the SE effort. It defines how the project will be organized, structured, and conducted and how the total engineering process will be controlled to provide a product that satisfies stakeholder requirements. Includes identification of required technical reviews and their completion criteria, methods for controlling changes, risk and opportunity assessment and methodology, and identification of other technical plans and documentation to be produced for the project.",279,Appendix E
38D38D42-7B62-468A-B0C4-85D3F187EBBC,Input/Output,Risk report,"An account prepared for interested parties in order to communicate the status, results, and outcomes of the risk management activities. The risks are documented and communicated along with rationale, assumptions, treatment plans, and current status. For selected risks, an action plan is produced to direct the project team to update the project plan and properly respond to the risks. If appropriate, change requests are generated to mitigate technical risk. Risk profiles and/or risk matrices summarize the risks and contain the findings of the risk management process.",279,Appendix E
6A169328-D4A0-45CD-BA09-55B62374C29E,Input/Output,Risk record,"Permanent, readable form of data, information, or knowledge related to risk management.",279,Appendix E
B52E81DD-3F9C-4D76-BF11-428EF4B1B35F,Input/Output,Risk management strategy,"Approaches, schedules, resources, and specific considerations required to perform risk management for a project.",279,Appendix E
F44A151F-32D2-4BD2-A2DF-B5C98F68F215,Process,Verification,The purpose of the Verification process is to provide objective evidence that a system or system element fulfils its specified requirements and characteristics.,83,4.9
7B5FDF4B-4EF0-4AA9-A6D6-D643E24ED874,Input/Output,Request for supply,A request to an external supplying organization to propose a solution to meet a need for a system element or system (product or service). The organization can identify candidate suppliers that could meet this need. Inputs are received from the project personnel in the organization with the need.,279,Appendix E
9CA661DB-51C5-4B9D-B670-EFA051AEB9B2,Input/Output,Quality management report,"An account prepared for interested parties in order to communicate the status, results, and outcomes of the QM activities. Includes the results of any customer satisfaction surveys and any issues that need to be addressed.",278,Appendix E
E7A8CDA6-7D9B-438E-B039-9A87A9E31B84,Input/Output,Quality management record,"Permanent, readable form of data, information, or knowledge related to QM.",278,Appendix E
6BD7BD79-35A8-46A5-8D3B-13E2A9394209,Input/Output,Quality management plan,"The overarching guidance that explains the organization’s quality philosophy and quality organization. Describes the QM organization and applicable audit, evaluation, and monitoring activities. This includes the set of policies and procedures, including specific methods and techniques that apply to QM practices within the organization. It also includes quality objectives for processes and systems that are measurable, along with the assigned accountability and authority for QM within the organization. The set of project QM activities form the basis of the project quality assurance.",278,Appendix E
4B7CC7F9-734F-4121-B4E2-52F4F0AA3E4E,Input/Output,Quality management guidelines,"Guidelines for quality practices within the organization, within individual projects, and as part of the execution of system life cycle processes.",278,Appendix E
5CFB680B-8FA4-4651-B40B-FF91751A25F4,Input/Output,Quality management evaluation report,An account prepared for interested parties in order to communicate evidence of whether the organization’s QM activities are effective. Includes the assessment of all the organizational‐ related process and any suggested improvements or necessary corrective actions. Provides constructive input for improvements to an organization’s life cycle model implementation.,278,Appendix E
FD43B3A1-C4AA-42D5-BA22-8761D67358DA,Input/Output,Quality management (QM) corrective actions,Actions taken when quality goals are not achieved. Resulting from project‐ related and process‐related reviews and audits.,278,Appendix E
A8576F64-422C-45EF-9BB9-14CD1836AADF,Process,Transition,The purpose of the Transition process is to establish a capability for a system to provide services specified by stakeholder requirements in the operational environment.,88,4.1
9DA4B66F-14D9-411F-BF9F-89B67B050B07,Input/Output,Quality assurance report,"An account prepared for interested parties in order to communicate the status, results, and outcomes of the quality assurance activities. Includes information on deviations from nominal conditions during the product life cycle and actions to be taken when quality assurance goals and objectives are not achieved.",278,Appendix E
41F75D6E-217F-4C3A-BE43-700E557C908B,Input/Output,Quality assurance record,"Permanent, readable form of data, information, or knowledge related to quality assurance.",278,Appendix E
5F68DA9A-FE09-4E7E-9914-226A1F07D511,Input/Output,Quality assurance plan,"The set of project quality assurance activities, tailored to the project, designed to monitor development and SE processes. Describes the quality assurance organization and applicable audit, evaluation, and monitoring activities. This includes the set of policies and procedures, including specific methods and techniques that apply to quality assurance practices within the organization and within individual projects. It also includes quality objectives for processes and systems that are measurable, along with linkages to the assigned accountability and authority for QM within the organization. The plan also references activities performed by other organizations or functions that are monitored or audited by the quality assurance organization.",278,Appendix E
2FEAD876-C446-47D0-8199-979D74AB58C4,Input/Output,Quality assurance evaluation report,An account prepared for interested parties in order to communicate evidence of whether the project’s quality assurance activities are effective. Includes the assessment of all the project‐related process and any suggested improvements or necessary corrective actions. Provides constructive input for improvements to an organization’s life cycle model implementation.,278,Appendix E
4AD54997-8541-48B8-A15A-0892B799C3C9,Process,Validation,"The purpose of the Validation process is to provide objective evidence that the system, when in use, fulfills its business or mission objectives and stakeholder requirements, achieving its intended use in its intended operational environment.",89,4.11
0D0FF7F5-DD14-45E7-B98C-BB43F71324AF,Input/Output,Qualified personnel,The right people with the right skills are assigned at the right time to projects per their skill needs and timing.,278,Appendix E
547DC023-A60A-4E7D-9727-588B4B607854,Input/Output,Project tailoring strategy,"Approaches, schedules, resources, and specific considerations required to incorporate and tailor the organization’s set of standard life cycle processes for a given project.",278,Appendix E
722FE0BD-EC56-4376-A44F-6EFCB50AB0C8,Input/Output,Project status report,"An account prepared for interested parties in order to communicate the status, results, and outcomes of the overall project activities. Includes status on meeting the objectives set out for the project, information on the health and maturity of the project work effort, status on project tailoring and execution, and status on personnel availability and effectiveness for the project.",277,Appendix E
9A7CF8FC-F24C-4BB0-BAE7-4454834DA1EC,Input/Output,Project schedule,"A linked list of a project’s milestones, activities, and deliverables with intended start and finish dates. May include a top‐level milestone schedule and multiple levels (also called tiers) of schedules of increasing detail and task descriptions with completion criteria and work authorizations.",277,Appendix E
BBE25015-E207-4DF7-8DF7-47B3EDE10E0B,Input/Output,Project portfolio,"The necessary information for all of the organizations’ projects. The initiation of new projects or the setting up of a product line management approach. Includes the project goals, resources, budgets identified and allocated to the projects, and clearly defined project management accountability and authorities.",277,Appendix E
0F74CE70-A73C-4EF1-BF18-B185A110BD52,Input/Output,Project planning record,"Permanent, readable form of data, information, or knowledge related to project planning.",277,Appendix E
7162D729-CBAC-4B8C-B2D6-F7446C1842D8,Process,Operation,The purpose of the Operation process is to use the system to deliver its services.,95,4.12
C43A4272-EBC7-42B7-B455-F53955FEB532,Input/Output,Project performance measures needs,"Identification of the project performance measures, which measure how well the project is satisfying it objectives.",277,Appendix E
DE45DEDD-24A6-456F-8C89-B550D075262C,Input/Output,Project performance measures data,Data provided for the identified measurement needs.,277,Appendix E
D9F16678-A5A8-4E47-AE39-A6B07B8765CE,Input/Output,Project lessons learned,"Project‐related lessons learned. Results from an evaluation or observation of an implemented corrective action that contributed to improved performance or increased capability. A lesson learned also results from an evaluation or observation of a positive finding that did not necessarily require corrective action other than sustainment (CJCS, 2012).",277,Appendix E
F0E6D01F-C3B3-4DDC-B322-0F65EB26A116,Input/Output,Project infrastructure needs,"Specific requests for infrastructure products or services needed by the project, including commitments to external stakeholders.",277,Appendix E
08D19BFC-3D7C-4BB1-8E3D-D0306B26BC21,Enabler,Project infrastructure,"Resources and services that support a project. Project‐level facilities, personnel, and resources for hardware fabrication, software development, system implementation and integration, verification, validation, etc.",277,Appendix E
2A20F868-A28C-4B34-BFC5-08C7C14AEDC7,Input/Output,Project human resource needs,"Specific requests for human resources needed by the project, including commitments to external stakeholders.",277,Appendix E
CE532961-F6D6-415C-AB63-A71A3ACD76A7,Control,Project direction,Organizational direction to the project. Includes sustainment of projects meeting assessment criteria and redirection or termination of projects not meeting assessment criteria.,277,Appendix E
138A2F63-ACF5-4F79-9656-ADCDB37943CD,Control,Project control requests,"Internal project directives based on action required due to deviations from the project plan. New directions are communicated to both project team and customer, when appropriate. If assessments are associated with a decision gate, a decision to proceed, or not to proceed, is taken.",277,Appendix E
CC95FE04-DF61-4176-82C7-648569BDB809,Input/Output,Project constraints,"Any constraints on the system arising from the technical management strategy including cost, schedule, and technical constraints.",277,Appendix E
30D3D847-CA69-4E70-B9CE-580339395903,Input/Output,Project change requests,"Requests to update any formal baselines that have been established. In many cases, the need for change requests is identified during the project assessment and control process. Can originate from any life cycle process.",277,Appendix E
943DE87B-8ECF-49AB-9E98-9EA18F993261,Input/Output,Project budget,"A prediction of the costs associated with a particular project. Includes labor, infrastructure, acquisition, and enabling system costs along with reserves for risk management.",277,Appendix E
96E6297E-805C-4C9C-80A2-070FFA2DD965,Input/Output,Project assessment and control strategy,"Approaches, schedules, resources, and specific considerations required to perform assessment and control for a project.",277,Appendix E
4B97340D-1605-4A86-A907-092D2CCFC7EF,Input/Output,Project assessment and control record,"Permanent, readable form of data, information, or knowledge related to project assessment and control.",277,Appendix E
0D9FBFBE-064B-4D8E-A5B0-C3BE8386AA43,Process,Maintenance,The purpose of the Maintenance process is to sustain the capability of the system to provide a service.,97,4.13
E1F3C66D-71F8-4C21-8CB0-749EFD63856D,Input/Output,Problem or opportunity statement,"Description of the problem or opportunity. Should be derived from the organization strategy and provide enough detail to understand the gap or new capability that is being considered Procedures Procedures from all applicable life cycle processes, including integration procedure, verification procedure, installation procedure, validation procedure, maintenance procedure, and disposal procedure.",276,Appendix E
3517E0FB-151E-4B22-8DD6-26E70481CA5C,Activity,Prepare for business or mission analysis,"– Establish a strategy for business or mission analysis, including the need for and requirements of any enabling systems, products, or services.",49,4.1
9DE06C19-C1F8-4B8F-ADD2-80B39197053A,Input/Output,Preliminary validation criteria,"The preliminary validation criteria (the measures to be assessed), who will perform validation activities, and the validation environments of the system of interest.",276,Appendix E
6A75CBCD-645C-43FF-8CF3-93486D15A470,Input/Output,Preliminary TPM needs,"Preliminary identification of the TPM (Roedler and Jones, 2006), which measure attributes of a system element to determine how well a system or system element is satisfying or expected to satisfy a technical requirement or goal.",276,Appendix E
040AA692-7853-4414-B7D1-5E1135495564,Input/Output,Preliminary TPM data,Preliminary data provided for the identified measurement needs.,276,Appendix E
D539327A-8886-47D5-A04F-5018AEF66C03,Input/Output,Preliminary MOE needs,"Preliminary identification of the MOEs (Roedler and Jones, 2006), which define the information needs of the decision makers with respect to system effectiveness to meet operational expectations.",276,Appendix E
770B4A61-5BF3-40F8-B133-3C91D2B6FBCF,Input/Output,Preliminary MOE data,Preliminary data provided for the identified measurement needs.,276,Appendix E
91F3EBB0-64F7-4962-B89B-51A3853ECDAD,Input/Output,Preliminary life cycle concepts,"Preliminary articulation of the various life cycle concepts consistent with the business needs in the form of life cycle concept documents on which the system of interest is based, assessed, and selected. The architecture is based on these concepts, and they are essential in providing context for proper interpretation of the system requirements. Typical concepts include: r Acquisition concept r Deployment concept r OpsCon r Support concept r Retirement concept.",276,Appendix E
7722810C-4F26-487C-BE11-2D3122905749,Input/Output,Preliminary interface definition,The preliminary logical and physical aspects of internal interfaces (between the system elements composing the system) and external interfaces (between the system elements of the system and the elements outside the system of interest).,276,Appendix E
7EBD6BD2-8918-49B2-AA5D-2CCFDD19536B,Input/Output,Portfolio management report,"An account prepared for interested parties in order to communicate the status, results, and outcomes of the portfolio management activities.",276,Appendix E
ADC4ADA0-B159-46E2-98AF-9C5A6CA5E803,Input/Output,Portfolio management record,"Permanent, readable form of data, information, or knowledge related to portfolio management.",276,Appendix E
F0F7D6C2-DFA3-4414-8D05-35CF8CDF6534,Input/Output,Portfolio management plan,"Approaches, schedules, resources, and specific considerations required to define a project portfolio.",276,Appendix E
C2FE59A6-ECED-4B12-B3D2-D180969B0C4B,Process,Disposal,"The purpose of the Disposal process is to end the existence of a system element or system for a specified intended use, appropriately handle replaced or retired elements, and to properly attend to identified critical disposal needs.",101,4.14
6901AE88-0618-49C8-A03B-D1408CD91608,Input/Output,Organizational process performance measures needs,"Identification of the organizational process performance measures, which measure how well the organization is satisfying it objectives.",276,Appendix E
56FC61FC-A981-4A7F-923B-4BE12541FC15,Input/Output,Organizational process performance measures data,Data provided for the identified measurement needs.,276,Appendix E
3A14BE4A-03C8-43C4-872C-CB1BF0ADC253,Enabler,"Organization policies, procedures, and standards","Items related to the organization’s standard set of life cycle processes, including guidelines and reporting mechanisms. Organization process guidelines in the form of organization policies, procedures, and assets for applying the system life cycle processes and adapting them to meet the needs of individual projects (e.g., templates, checklists, forms). Includes defining responsibilities, accountability, and authority for all SE processes within the organization.",276,Appendix E
079FADDD-BCA2-404F-89F8-71D2BA323BD1,Input/Output,Organization tailoring strategy,"Approaches, schedules, resources, and specific considerations required to incorporate new or updated external standards into the organization’s set of standard life cycle processes.",276,Appendix E
5C99EAEB-4CA0-4C85-88DF-D759CB90B3C0,Input/Output,Organization strategic plan,"The overall organization strategy, including the business mission or vision and strategic goals and objectives.",276,Appendix E
FB453049-2FD8-4060-B356-015807FA4774,Input/Output,Organization portfolio direction and constraints,"Organization business objectives, funding outlay and constraints, ongoing research and development (R&D), market tendencies, etc., including cost, schedule, and solution constraints.",275,Appendix E
171C96F5-5967-465B-A9B5-B11292CD05FB,Input/Output,Organization lessons learned,Organizational‐related lessons learned. Results from an evaluation or observation of an implemented corrective action that contributed to improved performance or increased capability. A lesson learned also results from an evaluation or observation of a positive finding that did not necessarily require corrective action other than sustainment.,275,Appendix E
04B99A89-F6DF-44C6-9045-A30FFC8BC8C9,Input/Output,Organization infrastructure needs,"Specific requests for infrastructure products or services from the organization, including commitments to external stakeholders.",275,Appendix E
425D630B-08C9-4BAA-A888-687E7C8ACF35,Enabler,Organization infrastructure,"Resources and services that support the organization. Organizational‐level facilities, personnel, and resources for hardware fabrication, software development, system implementation and integration, verification, validation, etc.",275,Appendix E
94AD08A9-559E-45CA-95EA-886E4B5480B8,Input/Output,Operator/maintainer training materials,Training capabilities and documentation.,275,Appendix E
23CA1929-15DC-480B-9FB1-CA933EF21CDA,Input/Output,Operation strategy,"Approaches, schedules, resources, and specific considerations required to perform system operations.",275,Appendix E
ACDB4A8B-EF4A-4D59-9D53-57C44A81D05A,Input/Output,Operation report,"An account prepared for interested parties in order to communicate the status, results, and outcomes of the operation activities.",275,Appendix E
8040FE34-7B0A-4894-91D2-C660DCD7C7B3,Input/Output,Operation record,"Permanent, readable form of data, information, or knowledge related to operation.",275,Appendix E
3FEFBAA6-58AB-4EA4-A4F4-0652F084579E,Input/Output,Operation enabling system requirements,Requirements for any systems needed to enable operation of the system of interest.,275,Appendix E
E502CDA1-F432-47BD-B6DA-9B95CC6EF252,Input/Output,Operation constraints,"Any constraints on the system arising from the operational strategy including cost, schedule, and technical constraints.",275,Appendix E
586AB602-EC6B-4903-9AF7-310EB1B173D1,Process,Project Planning,The purpose of the Project Planning process is to produce and coordinate effective and workable plans.,104,5.1
B7E9318A-5DBB-4061-A261-883F91603041,Input/Output,MOP needs,"Identification of the MOPs (Roedler and Jones, 2006), which define the key performance characteristics the system should have when fielded and operated in its intended operating environment.",275,Appendix E
